feedback_text,label
Very satisfied with my purchase.,1
Great experience overall.,1
I'm very disappointed.,0
Fast delivery and perfect condition.,1
"Terrible quality, not worth the price.",0
I love this product!,1
Amazing service and great quality.,1
I'm very disappointed.,0
"Terrible quality, not worth the price.",0
Great experience overall.,1
I'm very disappointed.,0
Fast delivery and perfect condition.,1
The product arrived damaged.,0
Amazing service and great quality.,1
I had a bad experience.,0
I had a bad experience.,0
I'm very disappointed.,0
Very satisfied with my purchase.,1
I love this product!,1
Excellent support team!,1
Customer service was unhelpful.,0
It didn’t meet my expectations.,0
Excellent support team!,1
Excellent support team!,1
The product arrived damaged.,0
I'm very disappointed.,0
Customer service was unhelpful.,0
Very satisfied with my purchase.,1
Customer service was unhelpful.,0
Fast delivery and perfect condition.,1
It didn’t meet my expectations.,0
Customer service was unhelpful.,0
I had a bad experience.,0
Amazing service and great quality.,1
"Terrible quality, not worth the price.",0
I'm very disappointed.,0
I had a bad experience.,0
Very satisfied with my purchase.,1
Amazing service and great quality.,1
Excellent support team!,1
I'm very disappointed.,0
Excellent support team!,1
I had a bad experience.,0
I love this product!,1
Great experience overall.,1
Amazing service and great quality.,1
"Terrible quality, not worth the price.",0
Customer service was unhelpful.,0
Fast delivery and perfect condition.,1
Customer service was unhelpful.,0
Amazing service and great quality.,1
"Terrible quality, not worth the price.",0
Fast delivery and perfect condition.,1
I had a bad experience.,0
Great experience overall.,1
Customer service was unhelpful.,0
I'm very disappointed.,0
Very satisfied with my purchase.,1
Great experience overall.,1
Very satisfied with my purchase.,1
Customer service was unhelpful.,0
Customer service was unhelpful.,0
Amazing service and great quality.,1
Amazing service and great quality.,1
I love this product!,1
Amazing service and great quality.,1
I love this product!,1
It didn’t meet my expectations.,0
Great experience overall.,1
Customer service was unhelpful.,0
I had a bad experience.,0
Great experience overall.,1
I had a bad experience.,0
Amazing service and great quality.,1
I love this product!,1
Amazing service and great quality.,1
Fast delivery and perfect condition.,1
I love this product!,1
Amazing service and great quality.,1
Great experience overall.,1
I had a bad experience.,0
Excellent support team!,1
Fast delivery and perfect condition.,1
I'm very disappointed.,0
The product arrived damaged.,0
Excellent support team!,1
Very satisfied with my purchase.,1
"Terrible quality, not worth the price.",0
Very satisfied with my purchase.,1
I love this product!,1
"Terrible quality, not worth the price.",0
Very satisfied with my purchase.,1
Very satisfied with my purchase.,1
The product arrived damaged.,0
I'm very disappointed.,0
Very satisfied with my purchase.,1
I had a bad experience.,0
Amazing service and great quality.,1
It didn’t meet my expectations.,0
It didn’t meet my expectations.,0
It didn’t meet my expectations.,0
Very satisfied with my purchase.,1
I had a bad experience.,0
It didn’t meet my expectations.,0
I love this product!,1
Very satisfied with my purchase.,1
Great experience overall.,1
"Terrible quality, not worth the price.",0
Customer service was unhelpful.,0
Great experience overall.,1
"Terrible quality, not worth the price.",0
Customer service was unhelpful.,0
Very satisfied with my purchase.,1
I'm very disappointed.,0
I'm very disappointed.,0
I had a bad experience.,0
Fast delivery and perfect condition.,1
Excellent support team!,1
Amazing service and great quality.,1
The product arrived damaged.,0
Great experience overall.,1
"Terrible quality, not worth the price.",0
It didn’t meet my expectations.,0
Very satisfied with my purchase.,1
I'm very disappointed.,0
Customer service was unhelpful.,0
It didn’t meet my expectations.,0
Fast delivery and perfect condition.,1
Amazing service and great quality.,1
I love this product!,1
"Terrible quality, not worth the price.",0
I had a bad experience.,0
"Terrible quality, not worth the price.",0
Excellent support team!,1
I love this product!,1
Great experience overall.,1
Very satisfied with my purchase.,1
Fast delivery and perfect condition.,1
Very satisfied with my purchase.,1
I love this product!,1
Fast delivery and perfect condition.,1
Fast delivery and perfect condition.,1
Fast delivery and perfect condition.,1
I'm very disappointed.,0
It didn’t meet my expectations.,0
Customer service was unhelpful.,0
Very satisfied with my purchase.,1
Fast delivery and perfect condition.,1
The product arrived damaged.,0
I'm very disappointed.,0
Amazing service and great quality.,1
Fast delivery and perfect condition.,1
"Terrible quality, not worth the price.",0
I love this product!,1
Great experience overall.,1
I had a bad experience.,0
Fast delivery and perfect condition.,1
Excellent support team!,1
Amazing service and great quality.,1
"Terrible quality, not worth the price.",0
I had a bad experience.,0
I had a bad experience.,0
The product arrived damaged.,0
Amazing service and great quality.,1
Customer service was unhelpful.,0
It didn’t meet my expectations.,0
The product arrived damaged.,0
Very satisfied with my purchase.,1
I had a bad experience.,0
Great experience overall.,1
I love this product!,1
Excellent support team!,1
Customer service was unhelpful.,0
Customer service was unhelpful.,0
It didn’t meet my expectations.,0
Great experience overall.,1
"Terrible quality, not worth the price.",0
I had a bad experience.,0
I love this product!,1
I love this product!,1
Fast delivery and perfect condition.,1
Fast delivery and perfect condition.,1
I had a bad experience.,0
I love this product!,1
"Terrible quality, not worth the price.",0
Fast delivery and perfect condition.,1
I'm very disappointed.,0
Amazing service and great quality.,1
I had a bad experience.,0
Great experience overall.,1
Fast delivery and perfect condition.,1
Excellent support team!,1
I'm very disappointed.,0
It didn’t meet my expectations.,0
I had a bad experience.,0
Excellent support team!,1
I had a bad experience.,0
Customer service was unhelpful.,0
Customer service was unhelpful.,0
Excellent support team!,1
Great experience overall.,1
Fast delivery and perfect condition.,1
"Terrible quality, not worth the price.",0
It didn’t meet my expectations.,0
Great experience overall.,1
Amazing service and great quality.,1
Amazing service and great quality.,1
The product arrived damaged.,0
I love this product!,1
I had a bad experience.,0
Amazing service and great quality.,1
Fast delivery and perfect condition.,1
Fast delivery and perfect condition.,1
Great experience overall.,1
Customer service was unhelpful.,0
Great experience overall.,1
"Terrible quality, not worth the price.",0
Fast delivery and perfect condition.,1
The product arrived damaged.,0
Amazing service and great quality.,1
Amazing service and great quality.,1
Fast delivery and perfect condition.,1
Very satisfied with my purchase.,1
I had a bad experience.,0
I had a bad experience.,0
Fast delivery and perfect condition.,1
Amazing service and great quality.,1
I love this product!,1
I had a bad experience.,0
The product arrived damaged.,0
I had a bad experience.,0
Very satisfied with my purchase.,1
"Terrible quality, not worth the price.",0
Fast delivery and perfect condition.,1
"Terrible quality, not worth the price.",0
I'm very disappointed.,0
Great experience overall.,1
Very satisfied with my purchase.,1
Very satisfied with my purchase.,1
I love this product!,1
I had a bad experience.,0
I'm very disappointed.,0
I had a bad experience.,0
It didn’t meet my expectations.,0
Amazing service and great quality.,1
Great experience overall.,1
Amazing service and great quality.,1
Customer service was unhelpful.,0
It didn’t meet my expectations.,0
Amazing service and great quality.,1
Amazing service and great quality.,1
I love this product!,1
The product arrived damaged.,0
Excellent support team!,1
Fast delivery and perfect condition.,1
Excellent support team!,1
It didn’t meet my expectations.,0
"Terrible quality, not worth the price.",0
"Terrible quality, not worth the price.",0
Customer service was unhelpful.,0
"Terrible quality, not worth the price.",0
Excellent support team!,1
Amazing service and great quality.,1
It didn’t meet my expectations.,0
Customer service was unhelpful.,0
I had a bad experience.,0
I love this product!,1
Customer service was unhelpful.,0
The product arrived damaged.,0
Very satisfied with my purchase.,1
Fast delivery and perfect condition.,1
I had a bad experience.,0
Excellent support team!,1
I love this product!,1
I had a bad experience.,0
Amazing service and great quality.,1
Amazing service and great quality.,1
Very satisfied with my purchase.,1
Excellent support team!,1
I'm very disappointed.,0
The product arrived damaged.,0
The product arrived damaged.,0
It didn’t meet my expectations.,0
I love this product!,1
"Terrible quality, not worth the price.",0
It didn’t meet my expectations.,0
"Terrible quality, not worth the price.",0
The product arrived damaged.,0
I love this product!,1
"Terrible quality, not worth the price.",0
Very satisfied with my purchase.,1
Excellent support team!,1
Customer service was unhelpful.,0
It didn’t meet my expectations.,0
"Terrible quality, not worth the price.",0
It didn’t meet my expectations.,0
"Terrible quality, not worth the price.",0
Very satisfied with my purchase.,1
Great experience overall.,1
"Terrible quality, not worth the price.",0
Fast delivery and perfect condition.,1
Excellent support team!,1
I love this product!,1
I'm very disappointed.,0
I love this product!,1
Very satisfied with my purchase.,1
The product arrived damaged.,0
Fast delivery and perfect condition.,1
The product arrived damaged.,0
I'm very disappointed.,0
Very satisfied with my purchase.,1
Customer service was unhelpful.,0
I had a bad experience.,0
Excellent support team!,1
I had a bad experience.,0
I'm very disappointed.,0
I love this product!,1
I had a bad experience.,0
I'm very disappointed.,0
I love this product!,1
Amazing service and great quality.,1
Fast delivery and perfect condition.,1
Customer service was unhelpful.,0
I had a bad experience.,0
I had a bad experience.,0
It didn’t meet my expectations.,0
The product arrived damaged.,0
Amazing service and great quality.,1
Great experience overall.,1
Great experience overall.,1
Customer service was unhelpful.,0
Customer service was unhelpful.,0
I love this product!,1
Excellent support team!,1
Fast delivery and perfect condition.,1
Customer service was unhelpful.,0
Great experience overall.,1
I had a bad experience.,0
I'm very disappointed.,0
The product arrived damaged.,0
Fast delivery and perfect condition.,1
I had a bad experience.,0
I'm very disappointed.,0
Fast delivery and perfect condition.,1
I love this product!,1
Very satisfied with my purchase.,1
"Terrible quality, not worth the price.",0
Fast delivery and perfect condition.,1
Amazing service and great quality.,1
Amazing service and great quality.,1
Very satisfied with my purchase.,1
I'm very disappointed.,0
Customer service was unhelpful.,0
"Terrible quality, not worth the price.",0
The product arrived damaged.,0
I had a bad experience.,0
Great experience overall.,1
I had a bad experience.,0
I'm very disappointed.,0
Great experience overall.,1
Great experience overall.,1
It didn’t meet my expectations.,0
I had a bad experience.,0
Great experience overall.,1
Great experience overall.,1
It didn’t meet my expectations.,0
The product arrived damaged.,0
I'm very disappointed.,0
The product arrived damaged.,0
Very satisfied with my purchase.,1
It didn’t meet my expectations.,0
The product arrived damaged.,0
The product arrived damaged.,0
Amazing service and great quality.,1
Fast delivery and perfect condition.,1
Great experience overall.,1
The product arrived damaged.,0
Amazing service and great quality.,1
I had a bad experience.,0
I'm very disappointed.,0
The product arrived damaged.,0
I love this product!,1
I love this product!,1
The product arrived damaged.,0
Great experience overall.,1
Very satisfied with my purchase.,1
I'm very disappointed.,0
I love this product!,1
Fast delivery and perfect condition.,1
Very satisfied with my purchase.,1
Customer service was unhelpful.,0
Customer service was unhelpful.,0
Excellent support team!,1
It didn’t meet my expectations.,0
"Terrible quality, not worth the price.",0
I'm very disappointed.,0
Excellent support team!,1
Amazing service and great quality.,1
I love this product!,1
Customer service was unhelpful.,0
Excellent support team!,1
I love this product!,1
Amazing service and great quality.,1
It didn’t meet my expectations.,0
Excellent support team!,1
Fast delivery and perfect condition.,1
I love this product!,1
Great experience overall.,1
Very satisfied with my purchase.,1
I love this product!,1
Customer service was unhelpful.,0
I love this product!,1
